Artist,Avg Tickets,Gross Sales,Territory,Agency,Location
Bibi Bourelly,,,North America,Paradigm - NYC,
Bicep,"2,160","$64,744","North America, South America",Liaison Artists,
Biffy Clyro,"1,720","$87,202",North America,WME,
Big & Rich,736,"$48,824","Australia, Asia",WME,
Big & Rich,736,"$48,824",Europe,WME,
Big & Rich,736,"$48,824",North America,WME,
Big Audio Dynamite,,,North America,WME,
Big B,,,Worldwide,The Empire Agency,
Big Bad Voodoo Daddy,543,"$23,198",Worldwide,Artisan Agency,
Big Band of Brothers,,,North America,Mint Talent Group,
Big Bang Beat!,,,North America,Swan Entertainment,
Big Boi,730,"$24,725",North America,Paradigm - Berkley,
Big Boi,730,"$24,725",Worldwide ex. North America,United Talent Agency - Beverly Hills,
Big Boi,730,"$24,725",Worldwide ex. North America,UTA,
Big Boy,,,Worldwide,ICM Partners,
Big Boy,,,North America,ICM Partners,
Big Brave,,,,HEAVY TALENT,
BIG BUSINESS,,,,Space Agency Booking,
BIG CHOCOLATE,,,,Corson Agency,
Big City Lights,,,Canada,APA,
Big D & The Kids Table,486,"$7,864",North America,Leave Home Booking,
Big Daddy Kane,,,non-exclusive,Pyramid Entertainment Group,
Big Daddy Kane,,,non-exclusive,Universal Attractions Agency,
Big Daddy Kane,,,non-exclusive,Red Entertainment Agency,
Big Daddy Love,,,North America,Midwood Entertainment,
Big Drill Car,,,North America,Leave Home Booking,
Big Eyes,35,$370,North America,Rocky Road Touring,
Big Gigantic,"1,606","$53,533",North America,Paradigm - NYC,
Big Gigantic,"1,606","$53,533",North America,Paradigm - Nashville,
Big Gigantic,,,,Goldengate Agency,
Big Head Todd & The Monsters,"1,226","$52,902",Worldwide,Partisan Arts,
Big Jay Oakerson,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Big Jay Oakerson,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Big Jesus,,,"United Kingdom, Europe",UTA,
Big K.R.I.T.,"1,130","$28,206",North America,WME,
Big Red Machine,,,North America,WME,
Big Red Machine,,,"North America, Central America",WME,
Big Sam's Funky Nation,248,"$4,430","Canada, United States",Prater Day,
Big Sandy & His Fly Rite Boys,,,North America,Mongrel Music,
Big Scary,,,North America,Paradigm - NYC,
Big Sean,,,"Asia, Australia",WME,
Big Sean,,,North America,WME,
BIG SEARCH,,,,Space Agency Booking,
Big Society,,,"Asia, New Zealand, Australia",WME,
Big Society,,,"South America, Europe, Central America",WME,
Big Something,210,"$3,201",North America,Paradigm - NYC,
Big Something,210,"$3,201",North America,Paradigm - Nashville,
Big Sugar,"1,885","$64,730",North America,APA,
Big Talk,,,North America,WME,
Big Terrific,,,Worldwide,WME,
Big Thief,"1,074","$24,371",North America,Ground Control Touring,
Big Wild,"1,562","$46,478","Mexico, South America, United States, Australia, Canada",Paradigm - NYC,
Big Zuu,,,Worldwide ex. North America,UTA,
Big3,,,Worldwide,WME,
Bigflo & Oli,,,"North America, South America",United Talent Agency - Beverly Hills,
Bigflo & Oli,,,"North America, South America",UTA,
Bigyuki,,,North America,International Music Network,
Biianco,,,Worldwide,APA,
Biicla,,,North America,Paradigm - NYC,
Biig Piig,400,"$4,672",North America,Paradigm - Beverly Hills,
Bikini Kill,,,North America,Panache Booking,
Bikini Trill,,,North America,United Talent Agency - Beverly Hills,
Bikini Trill,,,North America,UTA,
Bilal,348,"$11,994",Europe,WME,
Bilal,357,"$12,721",non-exclusive,Universal Attractions Agency,
Bill Burr,"4,393","$248,833",North America,WME,
Bill Callahan,924,"$26,354",North America,Ground Control Touring,
Bill Champlin,,,non-exclusive,Solaris Artists,
Bill Charlap,,,Worldwide,The Kurland Agency,
Bill Evans,,,"Canada, United States",United Talent Agency - Beverly Hills,
Bill Evans,,,"Canada, United States",UTA,
Bill Frisell,340,"$12,310",North America,Mint Talent Group,
Bill Hader,,,Worldwide,UTA - Comedy,
Bill Laurance,,,Worldwide ex. North America,UTA,
Bill Maher,"2,451","$188,467",North America,Creative Artists Agency (Comedy),Los Angeles
Bill Maher,"2,451","$188,467",North America,Creative Artists Agency (Music),Los Angeles
Bill Payne,,,Worldwide,New Frontier Touring,
Bill Payne,,,Worldwide,New Frontier Touring,
Bill Wyman & The Rhythm Kings,,,North America,Concerted Efforts,
Billie Eilish,"5,178","$276,681",North America,Paradigm - Beverly Hills,
Billie Marten,133,"$1,882",North America,Paradigm - Beverly Hills,
Billy & The Kids,,,Worldwide,Partisan Arts,
Billy Bragg,"1,367","$56,300",North America,APA,
Billy Bragg,"1,367","$56,300",United States,APA,
Billy Cobham,243,"$9,690",North America,Universal Attractions Agency,
Billy Corgan,769,"$45,072",North America,Artist Group International,
Billy Crystal,,,North America,Creative Artists Agency (Comedy),Los Angeles
Billy Crystal,,,North America,Creative Artists Agency (Music),Los Angeles
Billy Currington,"2,318","$104,294",Worldwide,Creative Artists Agency (Music),Los Angeles
Billy Eichner,,,North America,UTA - Comedy,
Billy Gardell,420,"$19,328",North America,UTA - Comedy,
Billy Gilman,263,"$10,711",Worldwide,Dynamic Artists Management LLC,
Billy Idol,"4,607","$233,943",North America,WME,
Billy Joe Shaver,,,North America,Paradigm - Nashville,
Billy Joel,"26,622","$3,340,353",Worldwide,Artist Group International,
Billy Kenny,315,"$4,746",North America,Liaison Artists,
Billy Ocean,"1,958","$98,439",North America,United Talent Agency - Beverly Hills,
Billy Ocean,"1,958","$98,439",North America,UTA,
Billy Porter,,,North America,Creative Artists Agency (Music),Los Angeles
Billy Raffoul,227,"$3,949",Worldwide ex. UK/Europe,Paradigm - NYC,
Billy Ray Cyrus,"2,494","$118,448",Worldwide,WME,
Billy Squier,,,Worldwide,TKO,
Billy Strings,"1,054","$24,834",Worldwide ex. UK/Europe,Crossover Touring,
Billy Talent,926,"$39,378",Canada,APA,
Billy Wayne Davis,,,North America,33 & West,
Billy Wayne Davis,,,North America,33 & West,
Bing & Ruth,,,North America,Ground Control Touring,
Bingo Players,,,North America,Paradigm - Beverly Hills,
Bino Rideaux,,,North America,APA,
BIOWEAPON,,,,Corson Agency,
Bird On the Wire: The Songs of Leonard Cohen,,,Worldwide,UTA,
Birds in Row,,,,HEAVY TALENT,
Birds Of Bellwoods,,,North America,APA,
Birdtalker,124,"$1,460",North America,WME,
Birdy,,,"Australia, Asia",WME,
Birdy,,,North America,WME,
Bireli Lagrene,900,"$42,150",North America,Dynamic Artists Management LLC,
Biscits,,,North America,Paradigm - Beverly Hills,
Bishop Briggs,912,"$23,579",North America,Paradigm - NYC,
Bishop Gunn,220,"$2,615",Worldwide,WME,
Bishop Nehru,,,Worldwide ex. North America,Universal Attractions Agency,
Bitch Falcon,,,Worldwide ex. North America,UTA,
Bitch Sesh,723,"$30,298",Worldwide,UTA - Comedy,
BIZZY BONE,,,,Prysm Talent Agency,
BJ Novak,,,Worldwide,UTA - Comedy,
BJ The Chicago Kid,454,"$10,580",North America,Paradigm - NYC,
Bjork,"5,738","$522,566","Asia, Australia",WME,
Bjork,"5,738","$522,566",Europe,WME,
Bjork,"5,738","$522,566",North America,WME,
Blac Rabbit,92,"$1,201",North America,APA,
Black 'N Blue,,,Worldwide,"BTE, Inc.",
Black Alley,302,"$6,079",Worldwide,Allive Agency,
Black Belt Eagle Scout,85,$822,North America,Ground Control Touring,
Black Cobra,,,"Australia, South America, North America",Tone Deaf Touring,
Black Coffee,,,"Australia, Asia",WME,
Black Coffee,,,North America,WME,
"Black Country, New Road",,,North America,Ground Control Touring,
Black Foxxes,100,"$1,246",North America,WME,
Black Francis,,,North America,High Road Touring,
Black Grape,,,Worldwide ex. UK/Europe,WME,
Black Honey,142,"$2,122",North America,Paradigm - NYC,
Black Jacket Symphony,880,"$29,239",North America,APA,
Black Kids,,,North America,Paradigm - Beverly Hills,
Black Label Society,"1,177","$41,595",North America,Sound Talent Group,
Black Label Society,"1,299","$45,503",Worldwide ex. North America,UTA,
Black Magnet,,,,HEAVY TALENT,
Black Map,,,Worldwide,TKO,
Black Marble,586,"$7,790",North America,Ground Control Touring,
Black Midi,238,"$3,388",North America,Ground Control Touring,
Black Milk,,,Worldwide ex. North America,UTA,
Black Moth,,,"United Kingdom, Europe",UTA,
Black Moth Super Rainbow,463,"$8,307","Asia, South America, Japan, Australia, North America",Paradigm - Berkley,
Black Moth Super Rainbow,463,"$8,307",North America,Paradigm - Beverly Hills,
Black Mountain,189,"$3,695",United States,Artist Group International,
Black Party,,,North America,Paradigm - NYC,
Black Party,,,North America,Paradigm - Beverly Hills,
Black Peaches,,,Worldwide ex. North America,UTA,
Black Peaks,340,"$5,662",Worldwide ex. North America,UTA,
Black Peaks,340,"$5,662",North America,Sound Talent Group,
Black Pistol Fire,419,"$8,209",Asia,WME,
Black Pistol Fire,419,"$8,209",North America,WME,
Black Pool,,,Worldwide ex. UK/Europe,APA,
Black Pumas,535,"$11,038",South America,Paradigm - Nashville,
Black Rebel Motorcycle Club (B.R.M.C.),806,"$22,329",North America,United Talent Agency - Beverly Hills,
Black Rebel Motorcycle Club (B.R.M.C.),806,"$22,329",North America,UTA,
Black Sheep,150,"$2,250",Worldwide,Universal Attractions Agency,
Black Star Riders,219,"$6,680",Worldwide,APA,
Black Stone Cherry,"1,624","$61,780",North America,United Talent Agency - Beverly Hills,
Black Stone Cherry,"1,624","$61,780",North America,UTA,
Black Taffy,,,North America,Overrun Booking,
Black Tiger Sex Machine,985,"$24,204",Worldwide,United Talent Agency - Beverly Hills,
Black Tiger Sex Machine,985,"$24,204",Worldwide,UTA,
Black Tusk,,,,HEAVY TALENT,
Black Uhuru,225,"$6,213",United States,SEG - Sweetwine Ent'ment Group,
Black Umfolosi,,,United States,Myriad Artists,
Black Veil Brides,"1,273","$40,088",North America,Sound Talent Group,
Black Violin,"1,279","$42,586",Worldwide ex. North America,UTA,
Blackalicious,252,"$5,374","Europe, United Kingdom",UTA,
Blackalicious,252,"$5,374",North America,APA,
Blackbear,"2,073","$62,105",Worldwide,ICM Partners,
Blackberry Smoke,"1,125","$39,389",North America,Mint Talent Group,
Blackfoot,,,Worldwide,Ashley Talent International,
Blackgummy,210,"$3,354",Worldwide,United Talent Agency - Beverly Hills,
Blackgummy,210,"$3,354",Worldwide,UTA,
BlackHawk,723,"$22,688",North America,APA,
Blackie & The Rodeo Kings,,,North America,APA,
Blackillac,118,"$1,652",North America,Mint Talent Group,
Blacklisters,,,United States,Dynamic Talent International,
Blackmore's Night,578,"$23,799",North America,Artist Group International,
Blackpink,"10,923","$1,508,107",North America,Paradigm - Beverly Hills,
Blackstreet Featuring Teddy Riley and Dave Hollister,,,Worldwide ex. North America,Universal Attractions Agency,
Blacktop Mojo,115,"$1,565",Worldwide,TKO,
Bladee,,,North America,Paradigm - Beverly Hills,
Bladee ,,,,TBA Agency,
Blair Crimmins & The Hookers,150,"$2,092","United States, Canada",Prater Day,
Blaire Erskine,,,Worldwide,ICM Partners,
BLAIZE,,,,Prysm Talent Agency,
Blake,,,Worldwide ex. North America,UTA,
Blake Brown & The American Dust Choir,,,North America,Madison House,
Blake Clark,,,North America,APA,
Blake Mills,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Blake Rose,,,North America,Paradigm - NYC,
Blake Shelton,"11,730","$978,954","Australia, Asia",WME,
Blake Shelton,"11,730","$978,954",North America,Paradigm - Nashville,
Blake Webber,,,North America,Gersh,
BLANCK MASS,,,,Space Agency Booking,
Blanco Brown,388,"$5,347",North America,United Talent Agency - Beverly Hills,
Blanco Brown,388,"$5,347",North America,UTA,
Blanco Brown,388,"$5,347",Worldwide ex. North America,UTA,
Blanco White,186,"$2,911",Worldwide,UTA,
Blanke,,,Worldwide,United Talent Agency - Beverly Hills,
Blanke,,,Worldwide,UTA,
Blanks,,,Worldwide,ICM Partners,
Blaqk Audio,396,"$7,928","Australia, Asia",WME,
Blaqk Audio,396,"$7,928",Europe,WME,
Blaqk Audio,396,"$7,928",North America,WME,
BLAQOUT,,,,Prysm Talent Agency,
Bleached,211,"$3,418",North America,High Road Touring,
Bleachers,"1,161","$37,745",North America,Paradigm - NYC,
Bleeker,,,Canada,APA,
Bleeker,,,North America,Artist Group International,
Bleep Bloop,286,"$4,685",Worldwide,United Talent Agency - Beverly Hills,
Bleep Bloop,286,"$4,685",Worldwide,UTA,
Blenn Beck,,,North America,United Talent Agency - Beverly Hills,
Blenn Beck,,,North America,UTA,
Blessed,22,$253,United States,WME,
Blessing Offor,,,North America,United Talent Agency - Beverly Hills,
Blessing Offor,,,North America,UTA,
Blessthefall,266,"$5,362","Latin America, United Kingdom, Asia, Europe, Australia",UTA,
Blessthefall,266,"$5,362",Worldwide ex. UK/Europe,Sound Talent Group,
Blind Pilot,846,"$21,353",North America,Paradigm - NYC,
Blind Pilot,846,"$21,353",North America,Paradigm - Nashville,
Blindside,,,North America,Artist Group International,
Blink-182,"10,259","$564,842","North America, Mexico, Australia",Creative Artists Agency (Music),Los Angeles
Blippi Live!,"1,718","$67,391",North America,United Talent Agency - Beverly Hills,
Blippi Live!,"1,718","$67,391",North America,UTA,
Bloc Party,"5,136","$242,335",North America,Creative Artists Agency (Music),Los Angeles
Blonde Redhead,93,"$3,070",United States,High Road Touring,
Blondie,"3,700","$269,941",North America,APA,
Blood Cultures,145,"$1,782",North America,United Talent Agency - Beverly Hills,
Blood Cultures,145,"$1,782",North America,UTA,
Blood Incantation,,,,HEAVY TALENT,
BLOOD LEMON,,,,Duck Club Touring,
Blood Orange,"1,440","$42,478",Worldwide,Creative Artists Agency (Music),Los Angeles
Bloodstone,251,"$13,805",non-exclusive,Universal Attractions Agency,
Bloody Hammers,,,"North America, Australia, South America, Central America",Tone Deaf Touring,
Bloody White ,,,,TBA Agency,
Bloom,,,United States,Dynamic Talent International,
Blossom,,,North America,Paradigm - NYC,
Blossom,,,North America,Paradigm - NYC,
Blossom,,,North America,Paradigm - Beverly Hills,
Blossom,,,North America,Paradigm - Beverly Hills,
Blossoms,"6,343","$256,035",North America,ICM Partners,
Blouse,,,North America,Ground Control Touring,
Bloxx,150,"$1,434",North America,Paradigm - NYC,
Blu J,,,Worldwide,United Talent Agency - Beverly Hills,
Blu J,,,Worldwide,UTA,
Blue,,,"Australia, Asia",WME,
Blue,,,Worldwide,UTA,
Blue Cheer,,,Worldwide,American Artists Corp.,
Blue Hawaii,75,$742,United States,Overrun Booking,
Blue Highway,,,Worldwide,Cumberland Music Collective,
Blue Magic,,,non-exclusive,Universal Attractions Agency,
Blue October,"1,104","$33,549",North America,Artist Group International,
Blue Oyster Cult,"1,140","$52,220",Worldwide,TKO,
Blue Rodeo,"3,873","$154,995",United States,WME,
Blueface,717,"$20,071",North America,Paradigm - NYC,
BLUEOX,,,United States,Dynamic Talent International,
Blues Beatles,280,"$4,764",Worldwide,Intrepid Artists Inc.,
Blues Traveler,"1,156","$39,169",Worldwide,United Talent Agency - Beverly Hills,
Blues Traveler,"1,156","$39,169",Worldwide,UTA,
Bluetech,175,"$2,670",North America,Madison House,
Bluey Robinson,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Blunts & Blondes,760,"$14,649",Worldwide,United Talent Agency - Beverly Hills,
Blunts & Blondes,760,"$14,649",Worldwide,UTA,
Blur,,,North America,Paradigm - NYC,
BNQT,,,North America,High Road Touring,
Bo Burnham,,,Worldwide,UTA - Comedy,
Bo Donaldson & The Heywoods,,,Worldwide,Utopia Artists / Mars Talent Agency (UAMT),
Bo Ningen,300,"$5,861",North America,WME,
Bo Ramsey,,,North America,Hello! Booking,
Boan,,,North America,Ground Control Touring,
Bob Dylan,"4,578","$465,506",North America,Creative Artists Agency (Music),Los Angeles
Bob James,332,"$15,562",North America,Mint Talent Group,
Bob Lefsetz vs. Jason Flom,,,Worldwide,WME,
Bob Log III,184,"$2,877",North America,Leafy Green Booking,
Bob Marley,919,"$32,605",Worldwide,Gersh,
Bob Moses,"1,126","$38,330","South America, Canada, Mexico, United States",Paradigm - NYC,
Bob Moses,"1,126","$38,330","North America, South America",Paradigm - Beverly Hills,
Bob Moses ,,,,TBA Agency,
Bob Mould,697,"$19,340",North America,High Road Touring,
Bob Newhart,"1,245","$66,714",Europe,WME,
Bob Newhart,"1,245","$66,714",North America,Paradigm - Beverly Hills,
Bob Odenkirk,,,North America,WME,
Bob Saget,948,"$36,288",Worldwide,ICM Partners,
Bob Schneider,455,"$15,827",North America,High Road Touring,
Bob Seger & The Silver Bullet Band,"12,214","$1,366,775",North America,ICM Partners,
Bob The Drag Queen,"1,049","$30,868",Worldwide,ICM Partners,
Bob Thiele,,,North America,WME,
Bob Vylan,151,"$2,221",Worldwide,UTA,
Bob Weir,"8,484","$968,657",North America,Paradigm - Nashville,
Bob Weir & Ratdog,,,North America,Paradigm - Nashville,
Bob Weir And Wolf Bros,,,North America,Paradigm - Nashville,
Bob's Burgers Live,,,"Australia, Asia",WME,
Bob's Burgers Live,,,North America,WME,
Bobby Bones,"1,218","$42,026",Worldwide,Creative Artists Agency (Comedy),Los Angeles
Bobby Bones,"1,218","$42,026",Worldwide,Creative Artists Agency (Music),Los Angeles
Bobby Bones & The Raging Idiots,"1,761","$78,583",Worldwide,Creative Artists Agency (Music),Los Angeles
Bobby Brown,,,Worldwide ex. North America,Universal Attractions Agency,
Bobby Collins,508,"$19,321",non-exclusive,Universal Attractions Agency,
Bobby Feeno,,,North America,The Empire Agency,
Bobby Lee,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Bobby Lee,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Bobby McFerrin,494,"$28,339",United States,Paradigm - NYC,
Bobby McFerrin,494,"$28,339",Worldwide ex. North America,The Kurland Agency,
BOBBY OROZA,,,,Space Agency Booking,
Bobby Rush,864,"$51,189",Worldwide,The Kurland Agency,
Bobby Slayton,,,North America,Gersh,
Bobby V.,,,non-exclusive,Pyramid Entertainment Group,
Bobby V.,,,non-exclusive,Universal Attractions Agency,
Bobcat Goldthwait,232,"$6,807",Worldwide,Gersh,
BoDeans,460,"$19,315",Worldwide,Northstar Artists,
BoDeans,460,"$19,315",Worldwide,Northstar Artists,
Body Count,861,"$14,909",Asia,WME,
Body Count,861,"$14,909",Europe,WME,
Body Of Light,,,North America,Ground Control Touring,
Body Type,,,North America,Ground Control Touring,
Body/Head,,,North America,Ground Control Touring,
Bodymeat,,,North America,Ground Control Touring,
Bodysnatcher,203,"$2,810",North America,TKO,
Bohan Phoenix,,,"New Zealand, Australia, Asia",WME,
Bohan Phoenix,,,"New Zealand, Australia, Asia",WME,
Boiz House,,,North America,Mint Talent Group,
Bokante,130,"$2,520",North America,The Roots Agency,
Bollywood Boulevard,,,North America,SRO Artists,
Bolt Thrower,,,North America,Ground Control Touring,
Bomba Estéreo,"1,502","$29,739",North America,WME,
Bombargo,448,"$9,842",United States,Madison House,
Bombay Bicycle Club,"4,001","$153,733",North America,Paradigm - NYC,
Bombay Bicycle Club,"4,001","$153,733",Canada,UTA,
Bombino,359,"$9,002","North America, North America",Partisan Arts,
Bommer,,,North America,United Talent Agency - Beverly Hills,
Bommer,,,North America,UTA,
Bon Entendeur,,,North America,United Talent Agency - Beverly Hills,
Bon Entendeur,,,North America,UTA,
Bon Entendeur,,,Worldwide,UTA,
Bon Iver,"6,027","$346,259","North America, South America",WME,
Bon Jovi,"31,438","$3,212,534",Worldwide,Creative Artists Agency (Music),Los Angeles
Bone Thugs-N-Harmony,"1,387","$55,836",North America,United Talent Agency - Beverly Hills,
Bone Thugs-N-Harmony,"1,387","$55,836",North America,UTA,
Bonerama,247,"$6,209",Worldwide,Ketch Agency,
Bones Owens,,,North America,WME,
Bones UK,257,"$6,200",North America,Artist Group International,
Boney James,"1,456","$72,480",Worldwide,ICM Partners,
Bonjay,,,Canada,APA,
Bonnie Bishop,54,"$1,010",North America,New Frontier Touring,
Bonnie Bishop,54,"$1,010",North America,New Frontier Touring,
Bonnie Raitt,"3,302","$308,252",Worldwide,Creative Artists Agency (Music),Los Angeles
Bonnie Tyler,"1,969","$114,017",non-exclusive,Universal Attractions Agency,
Bonny Doon,135,"$1,782",North America,Ground Control Touring,
Bonny Light Horseman,,,Worldwide,Crossover Touring,
Bonobo,"5,794","$225,674",Worldwide ex. North America,UTA,
Booba,,,North America,Paradigm - Beverly Hills,
Booba,,,North America,Paradigm - Toronto,
Boogarins,,,North America,Ground Control Touring,
Boogie,249,"$4,096",Worldwide,WME,
Boogie T,,,Worldwide,United Talent Agency - Beverly Hills,
Boogie T,,,Worldwide,UTA,
Booher,,,North America,Nine Mile Touring,
Booka Shade,,,"North America, South America",Liaison Artists,
Booker T. Jones,328,"$14,455",Worldwide,Concerted Efforts,
BoomBox,701,"$18,141",North America,Partisan Arts,
Boombox Cartel,"2,044","$66,495",North America,United Talent Agency - Beverly Hills,
Boombox Cartel,"2,044","$66,495",North America,UTA,
Bootstraps,,,North America,Paradigm - Nashville,
Bootsy Collins,,,Worldwide,Pyramid Entertainment Group,
Bop English,,,"Australia, Asia",WME,
Bop English,,,Europe,WME,
Borgeous,758,"$14,000",Worldwide,United Talent Agency - Beverly Hills,
Borgeous,758,"$14,000",Worldwide,UTA,
Borgore,823,"$20,561",North America,Paradigm - NYC,
Boris,334,"$7,573","North America, South America",Concerted Efforts,
Boris Brejcha,"1,500","$40,446",North America,United Talent Agency - Beverly Hills,
Boris Brejcha,"1,500","$40,446",North America,UTA,
Born Dirty,,,North America,United Talent Agency - Beverly Hills,
Born Dirty,,,North America,UTA,
Born I Music,,,Worldwide,Allive Agency,
Born Of Osiris,452,"$9,543",United Kingdom,United Talent Agency - Beverly Hills,
Born Of Osiris,452,"$9,543",United Kingdom,UTA,
Born Of Osiris,452,"$9,543",North America,Sound Talent Group,
Børns,"2,404","$76,184",North America,Paradigm - Beverly Hills,
Bosnian Rainbows,,,North America,WME,
Boston,,,North America,Creative Artists Agency (Music),Los Angeles
Boston Manor,253,"$4,854",North America,APA,
Bottom Line,,,"United Kingdom, Europe",TKO,
Boulevards,52,$700,"Canada, United States",Prater Day,
Bound,,,,HEAVY TALENT,
Bow Anderson,,,"Australia, Asia",WME,
Bow Anderson,,,Worldwide,WME,
Bowen Yang,,,North America,UTA - Comedy,
Bowling For Soup,"1,008","$31,854",Worldwide ex. UK/Europe,APA,
Boxed In,,,"United Kingdom, Europe",UTA,
Boy,,,United Kingdom,UTA,
Boy,,,North America,High Road Touring,
Boy & Bear,324,"$8,032",North America,Paradigm - Toronto,
Boy Azooga,116,"$1,135",North America,Paradigm - NYC,
Boy Bjorn,,,North America,High Road Touring,
Boy Bjorn,,,North America,High Road Touring,
Boy George,"3,052","$202,704",North America,WME,
Boy Harsher,460,"$6,575",North America,Ground Control Touring,
Boy Named Banjo,717,"$11,927",North America,WME,
Boy Pablo ,,,,TBA Agency,
Boy Scouts,,,North America,Ground Control Touring,
Boyce Avenue,613,"$26,506",North America,Paradigm - NYC,
Boyfriend,93,"$1,145",North America,Mint Talent Group,
Boys Like Girls,,,North America,Paradigm - NYC,
Boys Noize,,,"North America, South America",Paradigm - Nashville,
Boys Of Fall,,,North America,FATA Booking Agency,
BoySetsFire,,,,HEAVY TALENT,
Boyz II Men,"2,658","$194,687",Worldwide ex. North America,ICM Partners,
Boz Scaggs,"1,279","$91,183",Asia,WME,
Boz Scaggs,"1,279","$91,183",Worldwide,WME,
Brad Caleb Kane,,,North America,WME,
Brad Cox,,,Worldwide,WME,
Brad Garrett,,,Worldwide,ICM Partners,
Brad Mehldau,301,"$10,756",Worldwide,International Music Network,
Brad Paisley,"9,803","$425,982","Asia, Australia",WME,
Brad Paisley,"9,803","$425,982",Europe,WME,
Brad Paisley,"9,803","$425,982",North America,WME,
Brad Parsons Band,,,Worldwide,Ketch Agency,
Brad Sherwood,,,Worldwide,Gersh,
Brad Stank,,,Worldwide,ICM Partners,
Brad Williams,593,"$16,030",Worldwide,Gersh,
Bradley Zero,,,North America,Liaison Artists,
"Bradon ""Taz"" Niederauer",,,North America,WME,
Brady Rymer,317,"$4,572",North America,Great Knight Productions,
Brady Toops,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Braid,,,North America,United Talent Agency - Beverly Hills,
Braid,,,North America,UTA,
Braison Cyrus,,,Worldwide,WME,
Brame & Hamo,,,"North America, Central America, South America",Surefire Agency,
Brandi Carlile,"4,855","$280,290",North America,Paradigm - NYC,
"Brandon ""Taz"" Niederauer",180,"$3,533",North America,Mint Talent Group,
Brandon & Leah,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Brandon Banks,,,Worldwide,ICM Partners,
Brandon Colbein,,,North America,Paradigm - Beverly Hills,
Brandon Coleman,,,North America,International Music Network,
Brandon Flowers,,,"Asia, Australia",WME,
Brandon Flowers,,,Europe,WME,
Brandon Flowers,,,North America,WME,
Brandon Heath,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Brandon Jenner,,,North America,33 & West,
Brandon Kyle Goodman,,,Worldwide,Gersh,
Brandon Lay,422,"$7,902",North America,Paradigm - Nashville,
Brandon Ray,,,,Creative Artists Agency (Music),Nashville
Brandon Ray,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Brandon Wardell,88,"$1,276",North America,UTA - Comedy,
Brandy Clark,239,"$5,653",North America,Paradigm - NYC,
Brandy Clark,239,"$5,653",North America,Paradigm - Nashville,
Brant Björk,,,Worldwide ex. UK/Europe,TKO,
Brantley Gilbert,"5,160","$233,187",,Creative Artists Agency (Music),Nashville
Brantley Gilbert,"5,160","$233,187",Worldwide,Creative Artists Agency (Music),Los Angeles
Brass Against,236,"$4,714",North America,APA,
Brass Against,236,"$4,714",Worldwide ex. North America,ICM Partners,
Brasstracks,517,"$10,059",North America,Creative Artists Agency (Music),Los Angeles
Bratty ,,,,TBA Agency,
Braxton Cook,,,North America,United Talent Agency - Beverly Hills,
Braxton Cook,,,North America,UTA,
Bre Kennedy,,,Worldwide,WME,
Breach,,,"North America, South America",Liaison Artists,
Break Of Reality,358,"$8,631",United States,United Talent Agency - Beverly Hills,
Break Of Reality,358,"$8,631",United States,UTA,
Break Science,349,"$6,943",Worldwide,United Talent Agency - Beverly Hills,
Break Science,349,"$6,943",Worldwide,UTA,
Breakbot,,,"North America, South America",United Talent Agency - Beverly Hills,
Breakbot,,,"North America, South America",UTA,
Breakdown,,,North America,Artist Group International,
Breakfast At Tiffany's Live,,,North America,WME,
Breaking Benjamin,"8,787","$352,980",North America,Creative Artists Agency (Music),Los Angeles
Breaking Benjamin,"8,787","$352,980",Worldwide ex. North America,Sound Talent Group,
Breakup Shoes,,,North America,APA,
Breakup Shoes,,,Worldwide ex. UK/Europe,APA,
Breathe Carolina,,,Worldwide ex. UK/Europe,United Talent Agency - Beverly Hills,
Breathe Carolina,,,Worldwide ex. UK/Europe,UTA,
Breed 77,,,"Europe, United Kingdom",TKO,
Brenda Lee,,,,Creative Artists Agency (Music),Nashville
Brenda Lee,,,North America,Creative Artists Agency (Music),Los Angeles
Brendan Bennett,,,Worldwide,APA,
Brendan Benson,,,North America,APA,
Brendan James,129,"$2,763",North America,Madison House,
Brendan Perry,245,"$7,848",United States,WME,
Brendon Walsh,,,Worldwide,Gersh,
Brent Best,71,"$1,029",North America,Hello! Booking,
Brent Cobb,259,"$3,758",North America,Paradigm - Nashville,
Brent Cowles,21,$277,North America,United Talent Agency - Beverly Hills,
Brent Cowles,21,$277,North America,UTA,
Brent Faiyaz,300,"$7,912",North America,Paradigm - NYC,
Brent Morin,,,Worldwide,WME,
Brent Weinbach,,,Worldwide,Creative Artists Agency (Comedy),Los Angeles
Brent Weinbach,,,Worldwide,Creative Artists Agency (Music),Los Angeles
Brer Rabbit and Jonny 5,,,North America,Madison House,
Bret Bollinger,91,"$1,390",North America,SEG - Sweetwine Ent'ment Group,
Bret Ernst,,,Worldwide,Gersh,
Bret Michaels,"1,482","$66,936","Australia, Asia",WME,
